Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
AAVE,Close Long,2025-11-16 11:47:55,31.440496,0.178000,176.632000,0.034176,0.0000,Taker,trade
BNB,Close Long,2025-11-16 11:47:49,28.008327,0.030000,933.610900,-0.017223,0.0000,Taker,trade
SOL,Close Long,2025-11-16 11:47:42,27.876915,0.199000,140.085000,0.041591,0.0000,Taker,trade
SOL,Open Long,2025-11-16 11:41:09,27.835324,0.199000,139.876000,-,0.0000,Taker,trade
BNB,Open Long,2025-11-16 11:41:06,28.025550,0.030000,934.185000,-,0.0000,Taker,trade
AAVE,Open Long,2025-11-16 11:41:03,31.406320,0.178000,176.440000,-,0.0000,Taker,trade
BCH,Close Short,2025-11-16 11:40:56,31.101210,0.063000,493.670000,0.101556,0.0000,Taker,trade
BCH,Open Short,2025-11-16 11:34:22,31.202766,0.063000,495.282000,-,0.0000,Taker,trade
RESOLV,Close Long,2025-11-16 11:34:16,20.651855,119.000000,0.173545,-0.480998,0.0000,Taker,trade
RESOLV,Open Long,2025-11-16 11:27:31,21.132853,119.000000,0.177587,-,0.0000,Taker,trade
STBL,Close Long,2025-11-16 11:27:25,19.938980,260.300000,0.076600,-0.286330,0.0000,Taker,trade
NEAR,Close Long,2025-11-16 11:27:19,21.898800,8.800000,2.488500,-0.243760,0.0000,Taker,trade
STBL,Open Long,2025-11-16 11:20:45,20.225310,260.300000,0.077700,-,0.0000,Taker,trade
0G,Close Long,2025-11-16 11:20:39,18.078192,13.560000,1.333200,-0.225096,0.0000,Taker,trade
ZEC,Close Long,2025-11-16 11:20:33,32.222080,0.046000,700.480000,-0.356684,0.0000,Taker,trade
NEAR,Open Long,2025-11-16 11:20:29,22.142560,8.800000,2.516200,-,0.0000,Taker,trade
0G,Open Long,2025-11-16 11:13:57,18.303288,13.560000,1.349800,-,0.0000,Taker,trade
ZEC,Open Long,2025-11-16 11:13:54,32.578764,0.046000,708.234000,-,0.0000,Taker,trade
SOL,Close Long,2025-11-16 11:13:48,28.490400,0.200000,142.452000,-0.053600,0.0000,Taker,trade
HYPE,Close Long,2025-11-16 11:13:41,30.324608,0.760000,39.900800,-0.134368,0.0000,Taker,trade
NEAR,Close Long,2025-11-16 11:13:35,32.901700,13.000000,2.530900,-0.227370,0.0000,Taker,trade
SOL,Open Long,2025-11-16 11:06:58,28.544000,0.200000,142.720000,-,0.0000,Taker,trade
HYPE,Open Long,2025-11-16 11:06:55,30.458976,0.760000,40.077600,-,0.0000,Taker,trade
NEAR,Open Long,2025-11-16 11:06:51,33.129070,13.000000,2.548390,-,0.0000,Taker,trade
BNB,Close Long,2025-11-16 11:06:45,28.389210,0.030000,946.307000,-0.042987,0.0000,Taker,trade
TAO,Close Long,2025-11-16 11:06:38,33.422999,0.097000,344.567000,-0.151223,0.0000,Taker,trade
BCH,Close Short,2025-11-16 11:06:32,20.014040,0.040000,500.351000,0.010320,0.0000,Taker,trade
BNB,Open Long,2025-11-16 11:00:02,28.432197,0.030000,947.739900,-,0.0000,Taker,trade
PUMP,Close Long,2025-11-16 10:59:56,16.867038,4611.000000,0.003658,-0.110664,0.0000,Taker,trade
SPX,Close Long,2025-11-16 10:59:49,23.641138,44.300000,0.533660,-0.036769,0.0000,Taker,trade
NEAR,Close Long,2025-11-16 10:59:42,27.716084,10.900000,2.542760,0.049704,0.0000,Taker,trade
BCH,Open Short,2025-11-16 10:59:38,20.024360,0.040000,500.609000,-,0.0000,Taker,trade
SPX,Open Long,2025-11-16 10:53:09,23.677907,44.300000,0.534490,-,0.0000,Taker,trade
PUMP,Open Long,2025-11-16 10:53:05,16.977702,4611.000000,0.003682,-,0.0000,Taker,trade
NEAR,Open Long,2025-11-16 10:53:02,27.666380,10.900000,2.538200,-,0.0000,Taker,trade
HYPE,Close Long,2025-11-16 10:52:56,24.539995,0.610000,40.229500,-0.082167,0.0000,Taker,trade
LINK,Close Long,2025-11-16 10:52:49,27.288199,1.900000,14.362210,-0.213351,0.0000,Taker,trade
